x,y
-4.859203820981428379e+01,-3.985304720759918595e+00
-4.889170228661654960e+01,-3.609429645527428399e+00
-4.889170228661654960e+01,-3.109429645527428399e+00
-4.889170228661654960e+01,-2.609429645527428399e+00
-4.889170228661654960e+01,-2.109429645527428399e+00
-4.889170228661654960e+01,-1.609429645527428399e+00
-4.889170228661654960e+01,-1.109429645527428399e+00
-4.889170228661654960e+01,-6.094296455274283986e-01
-4.889170228661654960e+01,-1.094296455274283986e-01
-4.889170228661654960e+01,3.905703544725716014e-01
-4.889170228661654960e+01,8.905703544725716014e-01
-4.889170228661654960e+01,1.390570354472571601e+00
-4.889170228661654960e+01,1.890570354472571601e+00
-4.889170228661654960e+01,2.390570354472571601e+00
-4.889170228661654960e+01,2.890570354472571601e+00
-4.889170228661654960e+01,3.390570354472571601e+00
-4.889170228661654960e+01,3.890570354472571601e+00
-4.889170228661654960e+01,4.390570354472571601e+00
-4.889170228661654960e+01,4.890570354472571601e+00
-4.889170228661654960e+01,5.390570354472571601e+00
-4.889170228661654960e+01,5.890570354472571601e+00
-4.889170228661654960e+01,6.390570354472571601e+00
-4.889170228661654960e+01,6.890570354472571601e+00
-4.883441886027585355e+01,7.366842782383054455e+00
-4.848086546968257693e+01,7.720396172976327520e+00
-4.820450228661655245e+01,8.105922794409782028e+00
-4.801672057851173037e+01,8.528141064147176209e+00
-4.786090228661655033e+01,8.963599014378381469e+00
-4.786090228661655033e+01,9.463599014378381469e+00
-4.786090228661655033e+01,9.963599014378381469e+00
-4.786090228661655033e+01,1.046359901437838147e+01
-4.770672496563955178e+01,1.089973667701935689e+01
-4.735317157504627517e+01,1.125329006761262995e+01
-4.699961818445300565e+01,1.160684345820590480e+01
-4.664606479385972904e+01,1.196039684879917786e+01
-4.629251140326645952e+01,1.231395023939245270e+01
-4.593895801267318291e+01,1.266750362998572399e+01
-4.558540462207990629e+01,1.302105702057899705e+01
-4.513912908850029737e+01,1.315075935604235724e+01
-4.477765973090905760e+01,1.348520191174984539e+01
-4.428145286853168727e+01,1.349435935604235226e+01
-4.378145286853168727e+01,1.349435935604235226e+01
-4.328145286853168727e+01,1.349435935604235226e+01
-4.278145286853168727e+01,1.349435935604235226e+01
-4.228145286853168727e+01,1.349435935604235226e+01
-4.178145286853168727e+01,1.349435935604235226e+01
-4.128145286853168727e+01,1.349435935604235226e+01
-4.078145286853168727e+01,1.349435935604235226e+01
-4.028145286853168727e+01,1.349435935604235226e+01
-3.978145286853168727e+01,1.349435935604235226e+01
-3.928145286853168727e+01,1.349435935604235226e+01
-3.878145286853168727e+01,1.349435935604235226e+01
-3.828145286853168727e+01,1.349435935604235226e+01
-3.778145286853168727e+01,1.349435935604235226e+01
-3.728145286853168727e+01,1.349435935604235226e+01
-3.678145286853168727e+01,1.349435935604235226e+01
-3.635193745120014341e+01,1.332419452062594978e+01
-3.592377664856307717e+01,1.315075935604235724e+01
-3.542377664856307717e+01,1.315075935604235724e+01
-3.492377664856307717e+01,1.315075935604235724e+01
-3.453517144888984092e+01,1.288182851831564335e+01
-3.406610042859447418e+01,1.280715935604235511e+01
-3.356610042859447418e+01,1.280715935604235511e+01
-3.307195883717280793e+01,1.279301590659861354e+01
-3.270842420862587119e+01,1.246355935604235299e+01
-3.220842420862587119e+01,1.246355935604235299e+01
